en;nl;fr;de;sv;pl;No;es
"The conflict dialog opens up when there is a conflict in selected options when configuring a product in the """"Order Entry"""" page. It enables the user to select different options, in order to resolve the conflict. If the dialog is disabled, the software automatically enables/disables certain options such that the selected option is enabled.";"Het conflictdialoogvenster wordt geopend wanneer er een conflict is in geselecteerde opties bij het configureren van een product op de pagina  """"Orderinvoer"""". Hiermee kan de gebruiker verschillende opties selecteren om het conflict op te lossen. Als het dialoogvenster is uitgeschakeld, schakelt de software bepaalde opties automatisch in / uit, zodat de geselecteerde optie wordt ingeschakeld.";"La boîte de dialogue de conflit s'ouvre lorsqu'il y a un conflit dans les options sélectionnées lors de la configuration d'un produit dans la page """"Entrée de la commande"""". Elle permet à l'utilisateur de sélectionner différentes options, afin de résoudre le conflit. Si le dialogue est désactivé, le logiciel active/désactive automatiquement certaines options de sorte que l'option sélectionnée soit activée.";"Der Konfliktdialog öffnet sich, wenn bei der Konfiguration eines Produkts auf der Seite """"Auftragserfassung"""" ein Konflikt bei den ausgewählten Optionen auftritt. Er ermöglicht es dem Benutzer, verschiedene Optionen auszuwählen, um den Konflikt aufzulösen. Wenn der Dialog nicht aktiviert ist, aktiviert/deaktiviert die Software automatisch bestimmte Optionen, so dass die ausgewählte Option aktiviert wird.";Inaktivera dialogrutan för konflikter i showroom;"Okno dialogowe konfliktu otwiera się, gdy występuje konflikt w wybranych opcjach podczas konfigurowania produktu na stronie """"Wprowadzanie zamówień"""". Umożliwia użytkownikowi wybranie różnych opcji w celu rozwiązania konfliktu. Jeśli okno dialogowe jest wyłączone, oprogramowanie automatycznie włącza/wyłącza niektóre opcje, tak że wybrana opcja jest włączona.";"Konfliktdialogen ?es n?det er en konflikt mellom de valgte alternativene n?du konfigurerer et produkt p?iden """"Ordreinngang"""". Her kan brukeren velge ulike alternativer for ?øse konflikten. Hvis dialogboksen er deaktivert, aktiverer/deaktiverer programvaren automatisk visse alternativer slik at det valgte alternativet aktiveres.";El diálogo de conflicto se abre cuando hay un conflicto en las opciones seleccionadas al configurar un producto en la página 'Orden de Entrada'. Permite al usuario seleccionar diferentes opciones para resolver el conflicto. Si el diálogo está deactivado, el software activa/desactiva automáticamente ciertas opciones de forma que la opción seleccionada queda activada.
The conflict dialog opens up when there is a conflict in selected options when configuring a product in the showroom. It enables the user to select different options, in order to resolve the conflict. If the dialog is disabled, the software automatically enables/disables certain options such that the selected option is enabled.;Het conflictdialoogvenster wordt geopend wanneer er een conflict is in geselecteerde opties bij het configureren van een product in de showroom. Hiermee kan de gebruiker verschillende opties selecteren om het conflict op te lossen. Als het dialoogvenster is uitgeschakeld, schakelt de software bepaalde opties automatisch in / uit, zodat de geselecteerde optie wordt ingeschakeld.;La boîte de dialogue de conflit s'ouvre lorsqu'il y a un conflit dans les options sélectionnées lors de la configuration d'un produit dans le showroom. Elle permet à l'utilisateur de sélectionner différentes options, afin de résoudre le conflit. Si le dialogue est désactivé, le logiciel active/désactive automatiquement certaines options de sorte que l'option sélectionnée soit activée.;Der Konfliktdialog öffnet sich, wenn bei der Konfiguration eines Produkts im Showroom ein Konflikt bei den ausgewählten Optionen auftritt. Er ermöglicht es dem Benutzer, verschiedene Optionen auszuwählen, um den Konflikt zu lösen. Wenn der Dialog deaktiviert ist, aktiviert/deaktiviert die Software automatisch bestimmte Optionen, so dass die ausgewählte Option aktiviert wird.;Dialogrutan öppnas när det finns en konflikt mellan valda alternativ när du konfigurerar en produkt i showroomet. Där kan användaren välja olika alternativ för att lösa konflikten. Om dialogrutan är inaktiverad, kommer programvaran automatiskt att aktivera/avaktivera vissa alternativ så att det valda alternativet aktiveras;"Okno dialogowe konfliktu otwiera się, gdy występuje konflikt w wybranych opcjach podczas konfigurowania produktu na stronie """"Wprowadzanie zamówień"""". Umożliwia użytkownikowi wybranie różnych opcji w celu rozwiązania konfliktu. Jeśli okno dialogowe jest wyłączone, oprogramowanie automatycznie włącza/wyłącza niektóre opcje, tak że wybrana opcja jest włączona.";Konfliktdialogen ?es n?det oppst?en konflikt mellom de valgte alternativene n?du konfigurerer et produkt i utstillingslokalet. Her kan brukeren velge ulike alternativer for ?øse konflikten. Hvis dialogboksen er deaktivert, aktiverer/deaktiverer programvaren automatisk visse alternativer slik at det valgte alternativet aktiveres.;El cuadro de diálogo de conflicto se abre cuando hay un conflicto en las opciones seleccionadas al configurar un producto en la sala de exposición. Permite al usuario seleccionar diferentes opciones para resolver el conflicto. Si el cuadro de diálogo está desactivado, el software activa/desactiva automáticamente determinadas opciones de forma que se activa la opción seleccionada.
Privacy policy appendix;Bijlage Privacy beleid;Annexe de la politique de confidentialité;Datenschutzerklärung - Appendix;Tillägg till integritetspolicy;Załącznik do polityki prywatności;Vedlegg til personvern;Anexo de política de privacidad
Show appendix;Bijlage weergeven;Montrer l'annexe;Appendix anzeigen;Visa bilaga;Pokaż załącznik;Vis vedlegg;Mostrar apéndice
Add an appendix (PDF) to the privacy policy. The privacy policy is displayed in the cookie bar, which is required by European law. This can be used to stay compliant with the GDPR.;Voeg een appendix (pdf) toe aan het privacy beleid. Het privacy beleid wordt weergegeven in de cookiebalk, die vereist is door de Europese wetgeving. Dit kan worden gebruikt om te voldoen aan de AVG.;Ajoutez une annexe (PDF) à la politique de confidentialité. La politique de confidentialité s'affiche dans la barre de cookies, ce qui est exigé par la législation européenne. Cela peut être utilisé pour rester en conformité avec le GDPR.;Fügen Sie einen Anhang (PDF) zur Datenschutzrichtlinie hinzu. Die Datenschutzrichtlinie wird in der Cookie-Leiste angezeigt, was nach europäischem Recht vorgeschrieben ist. Dies kann verwendet werden, um mit der GDPR konform zu bleiben.;Lägg till en bilaga (PDF) till integritetspolicyn. Integritetspolicyn visas i cookiefältet, som krävs enligt EU-lagstiftningen. Används för att hålla sig i överensstämmelse med GDPR.;Dodaj załącznik (PDF) do polityki prywatności. Polityka prywatności jest wyświetlana w pasku plików cookie, co jest wymagane przez prawo europejskie. Można to wykorzystać do zachowania zgodności z RODO.;Legg til et vedlegg (PDF) til personvernreglene. Personvernerkl?ngen vises i cookiefeltet, som er p?evd av europeisk lov. Brukes til ?verholde GDPR.;Añadir un anexo (PDF) a la política de privacidad. La política de privacidad se muestra en la barra de cookies, lo cual es requerido por la ley europea. Esto se puede utilizar para cumplir con el RGPD.
Require custom terms and conditions with account creation;Vereisen aangepaste voorwaarden bij het aanmaken van een account;Exiger des conditions générales personnalisées lors de la création d'un compte;Verlangt benutzerdefinierte Geschäftsbedingungen bei der Erstellung eines Kontos;Krävs anpassade villkor vid registrering.;Wymagaj niestandardowych warunków korzystania z usługi przy utworzeniu konta;Krev tilpassede vilk?og betingelser ved opprettelse av konto;Requerir términos y condiciones personalizados con la creación de la cuenta
When creating a new account, the new user is required to read and accept the custom terms and conditions.;Bij het aanmaken van een nieuw account moet de nieuwe gebruiker de aangepaste voorwaarden lezen en accepteren.;Lors de la création d'un nouveau compte, le nouvel utilisateur doit lire et accepter les conditions générales personnalisées.;Bei der Erstellung eines neuen Kontos muss der neue Nutzer die benutzerdefinierten Bedingungen lesen und akzeptieren.;Vid registrering måste den nya användaren läsa och godkänna de anpassade villkoren.;Przy tworzeniu nowego konta nowy użytkownik musi przeczytać i zaakceptować niestandardowe warunki.;N?du oppretter en ny konto, m?en nye brukeren lese og godta de tilpassede vilk?ne.;Al crear una nueva cuenta, el nuevo usuario debe leer y aceptar los términos y condiciones personalizados.
Custom terms and conditions;Aangepaste voorwaarden;Conditions générales personnalisées;Benutzerdefinierte Bedingungen und Konditionen;Anpassade villkor;Niestandardowe warunki i postanowienia;Tilpassede vilk?og betingelser;Términos y condiciones personalizados
Add a custom terms and conditions (PDF) file. When required, new users have to read and accept those terms and conditions before creating a new account.;Voeg een aangepast bestand met algemene voorwaarden (pdf) toe. Indien nodig moeten nieuwe gebruikers deze voorwaarden lezen en accepteren voordat ze een nieuw account aanmaken.;Ajoutez un fichier de conditions générales personnalisées (PDF). Si nécessaire, les nouveaux utilisateurs doivent lire et accepter ces termes et conditions avant de créer un nouveau compte.;Fügen Sie eine benutzerdefinierte Geschäftsbedingungen (PDF) Datei hinzu. Falls erforderlich, müssen neue Nutzer diese Bedingungen lesen und akzeptieren, bevor sie ein neues Konto erstellen können.;Lägg till en fil med anpassade villkor (PDF). När det krävs måste nya användare läsa och godkänna dessa villkor innan de skapar ett nytt konto.;Dodaj plik niestandardowycg warunków i postanowień (PDF). W razie potrzeby nowi użytkownicy muszą przeczytać i zaakceptować te warunki przed utorzeniem nowego konta.;Legg til en egendefinert fil med vilk?og betingelser (PDF). N?det er nødvendig, m?ye brukere lese og godta disse vilk?ne og betingelsene før de oppretter en ny konto.;Agregue un archivo personalizado de términos y condiciones (PDF). Cuando sea necesario, los nuevos usuarios deben leer y aceptar esos términos y condiciones antes de crear una nueva cuenta.
Upload new T&C (PDF);Upload nieuwe algemene voorwaarden (pdf);Télécharger de nouvelles T&C (PDF);Neue Bedingungen hochladen (PDF);Ladda upp nya användarvillkor (PDF);Prześlij nowe warunki użytkowania (PDF);Last opp nye brukervilk?(PDF);Subir nuevos T&C (PDF)
Value;Waarde;Valeur;Wert;Värde;Wartość;Verdi;Valor
Total excl. VAT;Totaal excl. BTW;Total hors TVA;Gesamtwert ohne MwSt.;Totalt exkl. moms;Razem bez VAT;Sum ekskl. mva.;Total excl. IVA
Total incl. VAT;Totaal incl. BTW;Total TTC;Gesamtwert inkl. MwSt.;Totalt inkl. moms;Razem z VAT;Sum inkl. mva.;total incl. IVA
Database restore points;Database herstelpunten;Points de restauration de la base de données;Database Wiederherstellungspunkte;Återställningspunkter för databaser;Punkty przywracania bazy danych;Gjenopprettingspunkter for databaser;Puntos de restauración de la base de datos
When you create a database restore point, you can restore all your information to a given point.;Wanneer u een databaseherstelpunt maakt, kunt u al uw informatie naar een bepaald punt herstellen.;Lorsque vous créez un point de restauration de la base de données, vous pouvez restaurer toutes vos informations à un point donné.;Wenn Sie einen Datenbank-Wiederherstellungspunkt erstellen, können Sie alle Informationen bis zu einem bestimmten Punkt wiederherstellen.;När du skapar en återställningspunkt för databasen kan du återställa alla uppgifter till en viss period.;Podczas tworzenia punktu przywracania bazy danych można przywrócić wszystkie informacje do określonego punktu.;Når du oppretter et databasegjenopprettingspunkt, kan du gjenopprette all informasjon til et gitt punkt.;Cuando crea un punto de restauración de base de datos, puede restaurar toda su información a un punto determinado.
NOTE: this action can not be undone.;OPMERKING: deze actie kan niet ongedaan worden gemaakt.;REMARQUE : cette action ne peut pas être annulée.;HINWEIS: Diese Aktion kann nicht rückgängig gemacht werden.;OBS: Åtgärden kan inte ångras.;UWAGA: tej czynności nie można cofnąć.;MERK: Denne handlingen kan ikke angres.;NOTA: esta acción no se puede deshacer.
No restore points available.;Geen herstelpunten beschikbaar.;Aucun point de restauration disponible.;Keine Wiederherstellungspunkte verfügbar.;Inga tillgängliga återställningar;Brak dostępnych punktów przywracania.;Ingen gjenopprettingspunkter tilgjengelig.;No hay puntos de restauración disponibles.
Restore points;Herstel punten;Points de restauration;Wiederherstellungspunkte;Återställningpunkter;Punkty przywracania;Gjenopprettingspunkter;Puntos de restauración
Upload restore point;Herstelpunt uploaden;Télécharger un point de restauration;Wiederherstellungspunkt hochladen;Ladda upp återställningspunkt;Przekazywanie punktu przywracania;Last opp gjenopprettingspunkt;Subir punto de restauración
Create restore point;Maak herstelpunt;Créer un point de restauration;Wiederherstellungspunkt erstellen;Skapa återställningspunkt;Tworzenie punktu przywracania;Opprett gjenopprettingspunkt;Crear un punto de restauración
Allow editing table presets;Sta het bewerken van tabelvoorinstellingen toe;Autoriser l'édition des préréglages de table;Bearbeitung von Tabellenvoreinstellungen zulassen;Tillåt redigering av förinställningar för tabeller;Zezwalaj na edycję ustawień predefiniowanych tabeli;Tillat redigering av forhåndsinnstillinger av tabell;Permitir la edición de ajustes preestablecidos de la tabla
Allow users to create and edit their own table layouts.;Sta gebruikers toe hun eigen tabellay-outs te maken en te bewerken.;Permettez aux utilisateurs de créer et de modifier leurs propres mises en page de tableaux.;Erlauben Sie Benutzern, ihre eigenen Tabellenlayouts zu erstellen und zu bearbeiten.;Tillåt användare att skapa och redigera sina egna tabelllayouter.;Zezwalaj użytkownikom na tworzenie i edytowanie własnych układów tabeli.;Tillat brukere å opprette og redigere sine egne tabelloppsett.;Permita que los usuarios creen y editen sus propios diseños de mesa.
Quotation Lines;Offerte regels;Lignes de cotation;Angebotslinien;Noteringslinjer;Wiersze oferty;Tilbudslinjer;Líneas de cotización
Edit table presets;Tabelvoorinstellingen bewerken;Modifier les préréglages de table;Tabellenvoreinstellungen bearbeiten;Redigera tabellförinställningar;Edytowanie ustawień predefiniowanych tabeli;Redigere forhåndsinnstillinger for tabell;Editar ajustes preestablecidos de tabla
Search engine optimalization.;Zoek machine optimalisatie.;Optimisation des moteurs de recherche.;Optimierung für Suchmaschinen.;Förbättring av sökmotorerna.;Optymalizacja pod kątem wyszukiwarek;Søkemotoroptimalisering.;Optimización de motores de búsqueda.
API key that is used to integrate Google Analytics. This key is found in Google Analytics.;API-sleutel die wordt gebruikt om Google Analytics te integreren. Deze sleutel is te vinden in Google Analytics.;Clé API qui est utilisée pour intégrer Google Analytics. Cette clé se trouve dans Google Analytics.;API-Key, der für die Integration von Google Analytics verwendet wird. Dieser Schlüssel ist in Google Analytics zu finden.;API-nyckel som används för att integrera Google Analytics. Den här nyckeln finns i Google Analytics.;Klucz API, który służy do integracji Google Analytics. Ten klucz znajduje się w Google Analytics.;API-nøkkel som brukes til å integrere Google Analytics. Denne nøkkelen finnes i Google Analytics.;Clave de API que se utiliza para integrar Google Analytics. Esta clave se encuentra en Google Analytics.
of max.;van max.;de max.;von max.;i max;z maks.;på maks.;de máx.
Search the world's information including webpages, images, videos and more. Google has many special features to help you find exactly what you're looking for.;Doorzoek de informatie van de wereld, waaronder webpagina's, afbeeldingen, video's en meer. Google heeft veel speciale functies om u te helpen precies te vinden wat u zoekt.;Recherchez les informations du monde entier, y compris les pages Web, les images, les vidéos et plus encore. Google dispose de nombreuses fonctionnalités spéciales pour vous aider à trouver exactement ce que vous recherchez.;Durchsuchen Sie die Informationen der Welt, einschließlich Webseiten, Bilder, Videos und mehr. Google hat viele spezielle Funktionen, die Ihnen helfen, genau das zu finden, wonach Sie suchen.;Sök i hela världens information, inklusive webbsidor, bilder, videor och mycket mer. Google har många specialfunktioner som hjälper dig att hitta precis vad du söker.;Przeszukuj światowe informacje, w tym strony internetowe, obrazy, filmy i inne. Google ma wiele specjalnych funkcji, które pomogą Ci znaleźć dokładnie to, czego szukasz.;Søk i all informasjon, inkludert nettsider, bilder, videoer og mer. Google har mange spesialfunksjoner som hjelper deg med å finne akkurat det du leter etter.;Busque la información del mundo, incluidas páginas web, imágenes, videos y más. Google tiene muchas características especiales para ayudarlo a encontrar exactamente lo que está buscando.
